@relation movers
@attribute party_id real
@attribute session_count real
@attribute event_count real
@attribute homepage {t, f}
@attribute tv_home_theater {t, f}
@attribute computer_tables {t, f}
@attribute cell_phones {t, f}
@attribute cameras_camcorders {t, f}
@attribute audio_mp3 {t, f}
@attribute car_electronics_gps {t, f}
@attribute video_games_movies_music {t, f}
@attribute health_fitness {t, f}
@attribute home_office {t, f}
@attribute small_appliances {t, f}
@attribute appliances {t, f}
@attribute clearance {t, f}
@attribute searched {t, f}
@attribute list_page {t, f}
@attribute pdp {t, f}
@attribute cart_view {t, f}
@attribute conversion {t, f}
@attribute movers {t, f}
@data
40920234,1,5,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
40968754,1,13,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
40973896,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,?
41030537,1,16,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,t,?
41030537,1,17,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
41165460,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
41189594,1,25,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
41201574,1,14,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
41342746,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
41342746,1,13,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
41361263,1,5,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,?
41361263,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
41361263,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
41361263,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
41361263,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
41361263,1,16,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
41361263,1,40,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
41482185,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
41528967,1,18,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
41601310,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
41601310,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
41601310,1,25,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
41601310,1,42,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
41612911,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
41617324,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
41617324,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
41840189,1,14,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,t,t,f,?
41840189,1,31,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,?
4207460,1,100,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,t,f,f,?
4411491,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
4431585,1,5,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
4550776,1,34,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
462506940,1,15,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,?
462825654,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
463763775,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
464638314,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
464638314,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
465148167,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,?
466456,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
4814929,1,36,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,f,?
4938841,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
